id,timestamp,symbol,provider,direction,score,v2_score,confidence,strategy_version,location_15m,reversal_5m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,entry,stop,target,risk_pct,reward_r
Bitget_2026-09-20T17:05:26.137442+00:00_UBUSDT_LONG_0.13076,2026-09-20T17:05:26.137442+00:00,UBUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.13076,0.129731142857,0.18257,1.0077,39.1
Bitget_2026-09-20T19:18:48.698501+00:00_BEATUSDT_SHORT_0.0865,2026-09-20T19:18:48.698501+00:00,BEATUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.0865,0.086784285714,0.0838,0.4261,7.1
Bitget_2026-09-20T19:18:53.483434+00:00_DASHUSDT_SHORT_56.95,2026-09-20T19:18:53.483434+00:00,DASHUSDT,Bitget,SHORT,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,56.95,57.234857142857,54.42,0.579,7.54
Bitget_2026-09-20T19:18:57.971501+00:00_HOMEUSDT_SHORT_0.006423,2026-09-20T19:18:57.971501+00:00,HOMEUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.006423,0.0064841,0.006069,0.9995,5.47
Bitget_2026-09-20T19:19:02.534536+00:00_MORPHOUSDT_SHORT_2.7121,2026-09-20T19:19:02.534536+00:00,MORPHOUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,2.7121,2.749524285714,2.4739,1.5062,5.75
Bitget_2026-09-20T19:25:37.823303+00:00_BEATUSDT_SHORT_0.0864,2026-09-20T19:25:37.823303+00:00,BEATUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.0864,0.08678,0.0838,0.5324,5.48
Bitget_2026-09-20T19:25:44.121700+00:00_EGLDUSDT_SHORT_3.707,2026-09-20T19:25:44.121700+00:00,EGLDUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,3.707,3.714057142857,3.52,0.2459,20.29
Bitget_2026-09-20T19:25:45.392274+00:00_EULUSDT_SHORT_1.378,2026-09-20T19:25:45.392274+00:00,EULUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,1.378,1.383357142857,1.344,0.4188,5.82
Bitget_2026-09-20T19:25:48.278148+00:00_HOMEUSDT_SHORT_0.006403,2026-09-20T19:25:48.278148+00:00,HOMEUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.006403,0.0064834,0.006069,1.3088,3.95
Bitget_2026-09-20T19:25:50.199931+00:00_KAITOUSDT_SHORT_0.3293,2026-09-20T19:25:50.199931+00:00,KAITOUSDT,Bitget,SHORT,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.3293,0.331127142857,0.3212,0.5935,4.08
Bitget_2026-09-20T19:25:57.140897+00:00_POLUSDT_SHORT_0.10636,2026-09-20T19:25:57.140897+00:00,POLUSDT,Bitget,SHORT,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.10636,0.107179,0.10291,0.8255,3.86
